"theme_l1";"theme_l2";"theme_l3";"concept_text_long";"item_name";"variable_label";"source";"measure_wave";"suf_index";"data_collection_a";"mode_a";"item_id";"item_version";"concept_id";"concept_version";"sort_id"
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Main residence: household members;hh1memb19;Other persons (Main residence: household members);TREE;"1, 2";Wave-specific;Base (BQ);CATI;1585;1601;1613;1614;"101030370                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Main residence: type of household (if special);hh1type;Could you describe in more detail in what kind of (main) household you live?;TREE;"1, 2";Wave-specific;Base (BQ);CATI;1447;1463;1615;1616;"101030380                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Second residence;hh2add;Do you also have a second residence?;TREE;"1, 2";Wave-specific;Base (BQ);CATI;1448;1860;1616;1617;"101030390                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Second residence: number of people living with;hh2membonb;How many people do you live with at this second residence?;TREE;"1, 2";Wave-specific;Base (BQ);CATI;1449;1861;1618;1619;"101030400                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Second residence: household members;hh2memb1;Mother (Second residence: household members);TREE;"1, 2";Wave-specific;Base (BQ);CATI;1593;1609;1617;1618;"101030410                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Second residence: household members;hh2memb2;Stepmother/foster mother/father's partner (Second residence: household members);TREE;"1, 2";Wave-specific;Base (BQ);CATI;1594;1610;1617;1618;"101030420                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Second residence: household members;hh2memb3;Father (Second residence: household members);TREE;"1, 2";Wave-specific;Base (BQ);CATI;1595;1611;1617;1618;"101030430                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Second residence: household members;hh2memb4;Stepfather/foster father/mother's partner (Second residence: household members);TREE;"1, 2";Wave-specific;Base (BQ);CATI;1596;1612;1617;1618;"101030440                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Second residence: household members;hh2memb5;Siblings or step-siblings (Second residence: household members);TREE;"1, 2";Wave-specific;Base (BQ);CATI;1597;1613;1617;1618;"101030450                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Second residence: household members;hh2memb7;Your own children: daughter or son (Second residence: household members);TREE;"1, 2";Wave-specific;Base (BQ);CATI;1598;1929;1617;1618;"101030460                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Second residence: household members;hh2memb8;Other members of family/relatives (Second residence: household members);TREE;"1, 2";Wave-specific;Base (BQ);CATI;1599;1615;1617;1618;"101030470                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Second residence: household members;hh2memb9;Friends/colleagues (Second residence: household members);TREE;"1, 2";Wave-specific;Base (BQ);CATI;1600;1616;1617;1618;"101030480                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Second residence: household members;hh2memb19;Other persons (Second residence: household members);TREE;"1, 2";Wave-specific;Base (BQ);CATI;1601;1617;1617;1618;"101030490                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Second residence: household members;hh2memb6;Boyfriend/girlfriend/husband/wife (Second residence: household members);TREE;"1, 2";Wave-specific;Base (BQ);CATI;1602;1618;1617;1618;"101030500                     "
Socio-demographic characteristics;Demographic characteristics & housing situation;Housing situation;Second residence: type of household (if special);hh2type;Could you describe in more detail in what kind of (second) household you live?;TREE;"2";Wave-specific;Base (BQ);CATI;1702;1718;1704;1705;"101030510                     "
Socio-demographic characteristics;Composition of (own) family;Children;Children / parenthood;childyn;Do you have children?;TREE;"2";Wave-specific;Base (BQ);CATI;1695;1711;1696;1697;"102010520                     "
Socio-demographic characteristics;Composition of (own) family;Children;Number of children;childnb;How many children do you have at present?;TREE;"2";Wave-specific;Base (BQ);CATI;1692;1708;1695;1696;"102010530                     "
Socio-demographic characteristics;Migration Background & Nationality;Migration Background;Country of birth: respondent;cobs;Country of birth: respondent;"PISA 2000; PISA 2012; Kunter et al. (2002); Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;336;17;1213;1214;"103010640                     "
Socio-demographic characteristics;Migration Background & Nationality;Migration Background;Respondent born abroad;cobs_frgn;Respondent born abroad;"";"0";Wave-specific;Base (BQ);CASI;47;372;157;174;"103010641                     "
Socio-demographic characteristics;Migration Background & Nationality;Migration Background;Country of birth: mother;cobm;Country of birth: mother;"PISA 2000; PISA 2012; Kunter et al. (2002); Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;273;198;47;82;"103010650                     "
Socio-demographic characteristics;Migration Background & Nationality;Migration Background;Mother born abroad;cobm_frgn;Mother born abroad;"";"0";Wave-specific;Base (BQ);CASI;48;373;194;154;"103010651                     "
Socio-demographic characteristics;Migration Background & Nationality;Migration Background;Country of birth: father;cobf;Country of birth: father;"PISA 2000; PISA 2012; Kunter et al. (2002); Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;272;197;1126;1127;"103010660                     "
Socio-demographic characteristics;Migration Background & Nationality;Migration Background;Father born abroad;cobf_frgn;Father born abroad;"";"0";Wave-specific;Base (BQ);CASI;49;374;15;149;"103010661                     "
Socio-demographic characteristics;Migration Background & Nationality;Migration Background;Parents born abroad;cobfm_frgn;Parents born abroad;"";"0";Wave-specific;Base (BQ);CASI;50;54;90;134;"103010662                     "
Socio-demographic characteristics;Migration Background & Nationality;Migration Background;Immigration status;immig;Immigration status;TREE;"0";Wave-specific;Base (BQ);CASI;35;53;144;147;"103010663                     "
Socio-demographic characteristics;Migration Background & Nationality;Migration Background;Age of immigration;immigage;Age of immigration;"PISA 2012; PISA 2015; Mang et al. (2018); Mang et al. (2019)";"0";Wave-specific;Base (BQ);CASI;68;188;239;5;"103010670                     "
Socio-demographic characteristics;Migration Background & Nationality;Migration Background;School entry class after immigration;immiggrade;School entry class after immigration;TREE;"0";Wave-specific;Base (BQ);CASI;573;421;175;167;"103010680                     "
Socio-demographic characteristics;Migration Background & Nationality;Migration Background;Language at home (1st language);langhome;Language at home (1st language);"PISA 2000; PISA 2012; Kunter et al. (2002); Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;256;364;40;14;"103010690                     "
Socio-demographic characteristics;Migration Background & Nationality;Migration Background;Language at home (2nd language);langhome2f;Language at home (2nd language);"PISA 2012; Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;82;207;230;126;"103010700                     "
Socio-demographic characteristics;Migration Background & Nationality;Migration Background;Language at home (2nd language);langhome2;Language at home (2nd language);"PISA 2012; Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;78;228;230;126;"103010711                     "
Socio-demographic characteristics;Migration Background & Nationality;Migration Background;Other languages spoken at home;langhome14_1c;First language (Other languages spoken at home);"PISA 2000; PISA 2012; Kunter et al. (2002); Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;2038;2105;138;36;"103010713                     "
Socio-demographic characteristics;Migration Background & Nationality;Migration Background;Other languages spoken at home;langhome14_2c;Second language (Other languages spoken at home);"PISA 2000; PISA 2012; Kunter et al. (2002); Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;2037;2104;138;36;"103010714                     "
Socio-demographic characteristics;Migration Background & Nationality;Migration Background;Other languages spoken at home;langhome14_3c;Third language (Other languages spoken at home);"PISA 2000; PISA 2012; Kunter et al. (2002); Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;2039;2106;138;36;"103010715                     "
Socio-demographic characteristics;Migration Background & Nationality;Migration Background;Other languages spoken at home;langhome14_4c;Fourth language (Other languages spoken at home);"PISA 2000; PISA 2012; Kunter et al. (2002); Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;2040;2107;138;36;"103010716                     "
Socio-demographic characteristics;Migration Background & Nationality;Migration Background;Other languages spoken at home;langhome14_5c;Fifth language (Other languages spoken at home);"PISA 2000; PISA 2012; Kunter et al. (2002); Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;2041;2108;138;36;"103010717                     "
Socio-demographic characteristics;Migration Background & Nationality;Migration Background;Other languages spoken at home;langhome14_6c;Sixth language (Other languages spoken at home);"PISA 2000; PISA 2012; Kunter et al. (2002); Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;2042;2109;138;36;"103010718                     "
Socio-demographic characteristics;Migration Background & Nationality;Migration Background;Test language is spoken at home;testlanghome;Test language is spoken at home;TREE;"0";Wave-specific;Base (BQ);CASI;13;337;140;146;"103010719                     "
Socio-demographic characteristics;Migration Background & Nationality;Migration Background;Test language is first language spoken at home;testlanghome1;Test language is first language spoken at home;TREE;"0";Wave-specific;Base (BQ);CASI;72;178;63;132;"103010719.1                   "
Socio-demographic characteristics;Migration Background & Nationality;Migration Background;Test language is first or second language spoken at home;testlanghome2;Test language is first or second language spoken at home;TREE;"0";Wave-specific;Base (BQ);CASI;15;52;187;181;"103010719.2                   "
Socio-demographic characteristics;Migration Background & Nationality;Nationality;ID number of citizenship episode;nat_epinr;ID number of citizenship episode;TREE;"2";Wave-specific;Base (BQ);CATI;1863;1930;1064;1065;"103020730                     "
Socio-demographic characteristics;Migration Background & Nationality;Nationality;Country of citizenship;nat;In which country do/did you have citizenship?;TREE;"2";Wave-specific;Base (BQ);CATI;1450;1466;1705;1706;"103020740                     "
Socio-demographic characteristics;Migration Background & Nationality;Nationality;Citizenship since birth;natgeb;Citizenship since birth?;TREE;"2";Wave-specific;Base (BQ);CATI;1451;1467;1706;1707;"103020750                     "
Socio-demographic characteristics;Migration Background & Nationality;Nationality;Beginning of citizenship [year];naty_begin;In what year were you granted this citizenship? [year];TREE;"2";Wave-specific;Base (BQ);CATI;1452;1468;1707;1708;"103020760                     "
Socio-demographic characteristics;Migration Background & Nationality;Nationality;End of citizenship [year];naty_end;In what year did you renounce this citizenship? [year];TREE;"2";Wave-specific;Base (BQ);CATI;1453;1469;1708;1709;"103020780                     "
Socio-demographic characteristics;Migration Background & Nationality;Nationality;Type of residence permit;resistat;What kind of residence permit do you have?;TREE;"2";Wave-specific;Base (BQ);CATI;1708;1724;1709;1710;"103020800                     "
Socio-demographic characteristics;Migration Background & Nationality;Nationality;Beginning of residence permit [year];resistaty;Since when do you have this residence permit? [year];TREE;"2";Wave-specific;Base (BQ);CATI;1713;1729;1712;1713;"103020810                     "
Socio-demographic characteristics;Migration Background & Nationality;Nationality;Type of residence permit prior to Swiss citizenship;resistat_bef;What kind of residence permit did you have before the Swiss citizenship?;TREE;"2";Wave-specific;Base (BQ);CATI;1710;1726;1710;1711;"103020820                     "
Socio-demographic characteristics;Migration Background & Nationality;Nationality;Beginning of residence permit prior to Swiss citizenship [year];resistat_befy;Since when did you have this residence permit prior to Swiss citizenship? [year];TREE;"2";Wave-specific;Base (BQ);CATI;1712;1728;1711;1712;"103020830                     "
Education & training - employment;Educational pathways and transitions;Educational biography (compulsory school);"";st_nprog;National school programme;"";"0";Wave-specific;AES sampling frame;"";1887;1954;0;0;"201010830                     "
Education & training - employment;Educational pathways and transitions;Educational biography (compulsory school);"";st_nprog_req;National school programme (requirements);"";"0";Wave-specific;AES sampling frame;"";1888;1955;0;0;"201010831                     "
Education & training - employment;Educational pathways and transitions;Educational biography (compulsory school);"";st_nprog_strc;National school programme (organisational structure);"";"0";Wave-specific;AES sampling frame;"";1889;1956;0;0;"201010832                     "
Education & training - employment;Educational pathways and transitions;Educational biography (compulsory school);Paid after-school tutoring;coaching;Paid after-school tutoring;"PISA 2012; Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;97;501;200;4;"201010840                     "
Education & training - employment;Educational pathways and transitions;Educational biography (compulsory school);Private tutoring: frequency (test language);coachlang1;Private tutoring: frequency (test language);"PISA 2012; Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;591;270;163;185;"201010841                     "
Education & training - employment;Educational pathways and transitions;Educational biography (compulsory school);Private tutoring: frequency (foreign language);coachlang2;Private tutoring: frequency (foreign language);"PISA 2012; Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;339;639;1143;1144;"201010850                     "
Education & training - employment;Educational pathways and transitions;Educational biography (compulsory school);Private tutoring: frequency (mathematics);coachmath;Private tutoring: frequency (mathematics);"PISA 2012; Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;455;659;1145;1146;"201010860                     "
Education & training - employment;Educational pathways and transitions;Educational biography (compulsory school);Private tutoring: frequency (other subjects);coachother;Private tutoring: frequency (other subjects);"PISA 2012; Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;36;438;1144;1145;"201010870                     "
Education & training - employment;Educational pathways and transitions;Educational biography (compulsory school);Private tutoring: reason;coachaim1;Prepare for next level (Private tutoring: reason);"PISA 2012; Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;374;452;1;41;"201010880                     "
Education & training - employment;Educational pathways and transitions;Educational biography (compulsory school);Private tutoring: reason;coachaim2;Pass entrance exam (Private tutoring: reason);"PISA 2012; Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;448;22;1;41;"201010890                     "
Education & training - employment;Educational pathways and transitions;Educational biography (compulsory school);Private tutoring: reason;coachaim3;Achieve better results (Private tutoring: reason);"PISA 2012; Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;249;133;1;41;"201010900                     "
Education & training - employment;Educational pathways and transitions;Educational biography (compulsory school);Private tutoring: reason;coachaim4;Catch up on material (Private tutoring: reason);"PISA 2012; Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;250;134;1;41;"201010910                     "
Education & training - employment;Educational pathways and transitions;Educational biography (compulsory school);Private tutoring: reason;coachaim5;Other reasons (Private tutoring: reason);"PISA 2012; Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;276;280;1;41;"201010920                     "
Education & training - employment;Educational pathways and transitions;Educational biography (compulsory school);Class repetition: incidence;graderep;Have you ever repeated a grade? (Class repetition: incidence);"PISA 2012; Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;517;57;224;122;"201010930                     "
Education & training - employment;Educational pathways and transitions;Educational biography (compulsory school);Class repetition: 1st grade;graderep1;Class repetition: 1st grade;"PISA 2012; Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;728;650;1152;1153;"201010940                     "
Education & training - employment;Educational pathways and transitions;Educational biography (compulsory school);Class repetition: 2nd grade;graderep2;Class repetition: 2nd grade;"PISA 2012; Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;107;560;1157;1158;"201010950                     "
Education & training - employment;Educational pathways and transitions;Educational biography (compulsory school);Class repetition: 3rd grade;graderep3;Class repetition: 3rd grade;"PISA 2012; Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;108;157;1155;1156;"201010960                     "
Education & training - employment;Educational pathways and transitions;Educational biography (compulsory school);Class repetition: 4th grade;graderep4;Class repetition: 4th grade;"PISA 2012; Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;109;562;1158;1159;"201010970                     "
Education & training - employment;Educational pathways and transitions;Educational biography (compulsory school);Class repetition: 5th grade;graderep5;Class repetition: 5th grade;"PISA 2012; Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;20;546;1156;1157;"201010980                     "
Education & training - employment;Educational pathways and transitions;Educational biography (compulsory school);Class repetition: 6th grade;graderep6;Class repetition: 6th grade;"PISA 2012; Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;521;601;1159;1160;"201010990                     "
Education & training - employment;Educational pathways and transitions;Educational biography (compulsory school);Class repetition: 7th grade;graderep7;Class repetition: 7th grade;"PISA 2012; Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;333;24;1151;1152;"201010991                     "
Education & training - employment;Educational pathways and transitions;Educational biography (compulsory school);Class repetition: 8th grade;graderep8;Class repetition: 8th grade;"PISA 2012; Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;334;32;1153;1154;"201010992                     "
Education & training - employment;Educational pathways and transitions;Educational biography (compulsory school);Class repetition: 9th grade;graderep9;Class repetition: 9th grade;"PISA 2012; Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;335;33;1154;1155;"201010993                     "
Education & training - employment;Educational pathways and transitions;Educational biography (compulsory school);Class repetition: incidence;graderep19;Class repetition: incidence;"PISA 2012; Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;263;540;224;122;"201010994                     "
Education & training - employment;Educational pathways and transitions;Educational biography (compulsory school);Baccalaureate school type;schoolgym;Baccalaureate school type;"TREE; PISA 2000; Kunter et al. (2002)";"0";Wave-specific;Base (BQ);CASI;120;358;43;78;"201010995                     "
Education & training - employment;Educational pathways and transitions;Educational decisions (transitions from lower to upper secondary education): perceived cost, benefit and chances of success;Expected success education;achexp1;Able to complete a 2-year VET programme (Expected success education);"TREE; NEPS (2013); DAB-Panelstudie (2020)";"0";Wave-specific;Base (BQ);CASI/Web/PP;310;402;8;47;"2010201100                    "
Education & training - employment;Educational pathways and transitions;Educational decisions (transitions from lower to upper secondary education): perceived cost, benefit and chances of success;Expected success education;achexp2;Able to complete a 3-4-year VET programme (Expected success education);"TREE; NEPS (2013); DAB-Panelstudie (2020)";"0";Wave-specific;Base (BQ);CASI/Web/PP;661;482;8;47;"2010201110                    "
Education & training - employment;Educational pathways and transitions;Educational decisions (transitions from lower to upper secondary education): perceived cost, benefit and chances of success;Expected success education;achexp3;Able to complete VET plus higher voc. training (Expected success education);"TREE; NEPS (2013); DAB-Panelstudie (2020)";"0";Wave-specific;Base (BQ);CASI/Web/PP;318;269;8;47;"2010201120                    "
Education & training - employment;Educational pathways and transitions;Educational decisions (transitions from lower to upper secondary education): perceived cost, benefit and chances of success;Expected success education;achexp4;Able to complete VET plus higher education (Expected success education);"TREE; NEPS (2013); DAB-Panelstudie (2020)";"0";Wave-specific;Base (BQ);CASI/Web/PP;459;170;8;47;"2010201130                    "
Education & training - employment;Educational pathways and transitions;Educational decisions (transitions from lower to upper secondary education): perceived cost, benefit and chances of success;Expected success education;achexp5;Able to complete advanced upper-sec. education (Expected success education);"TREE; NEPS (2013); DAB-Panelstudie (2020)";"0";Wave-specific;Base (BQ);CASI/Web/PP;80;190;8;47;"2010201140                    "
Education & training - employment;Educational pathways and transitions;Educational decisions (transitions from lower to upper secondary education): perceived cost, benefit and chances of success;Expected success education;achexp6;Able to complete ad. upper-sec. and higher educ (Expected success education);"TREE; NEPS (2013); DAB-Panelstudie (2020)";"0";Wave-specific;Base (BQ);CASI/Web/PP;105;450;8;47;"2010201150                    "
Education & training - employment;Educational pathways and transitions;Educational decisions (transitions from lower to upper secondary education): perceived cost, benefit and chances of success;Expected utility education;vaexp1;Future prospect after a 2-year VET programme (Expected utility education);"TREE; NEPS (2013); DAB-Panelstudie (2020)";"0";Wave-specific;Base (BQ);CASI/Web/PP;70;180;139;37;"2010201160                    "
Education & training - employment;Educational pathways and transitions;Educational decisions (transitions from lower to upper secondary education): perceived cost, benefit and chances of success;Expected utility education;vaexp2;Future prospect after a 3-4-year VET programme (Expected utility education);"TREE; NEPS (2013); DAB-Panelstudie (2020)";"0";Wave-specific;Base (BQ);CASI/Web/PP;124;423;139;37;"2010201170                    "
Education & training - employment;Educational pathways and transitions;Educational decisions (transitions from lower to upper secondary education): perceived cost, benefit and chances of success;Expected utility education;vaexp3;Future prospect after VET plus higher voc. training (Expected utility education);"TREE; NEPS (2013); DAB-Panelstudie (2020)";"0";Wave-specific;Base (BQ);CASI/Web/PP;51;443;139;37;"2010201180                    "
Education & training - employment;Educational pathways and transitions;Educational decisions (transitions from lower to upper secondary education): perceived cost, benefit and chances of success;Expected utility education;vaexp4;Future prospect after VET plus higher education (Expected utility education);"TREE; NEPS (2013); DAB-Panelstudie (2020)";"0";Wave-specific;Base (BQ);CASI/Web/PP;332;549;139;37;"2010201190                    "
Education & training - employment;Educational pathways and transitions;Educational decisions (transitions from lower to upper secondary education): perceived cost, benefit and chances of success;Expected utility education;vaexp5;Future prospect after advanced upper-sec. education (Expected utility education);"TREE; NEPS (2013); DAB-Panelstudie (2020)";"0";Wave-specific;Base (BQ);CASI/Web/PP;477;589;139;37;"2010201200                    "
Education & training - employment;Educational pathways and transitions;Educational decisions (transitions from lower to upper secondary education): perceived cost, benefit and chances of success;Expected utility education;vaexp6;Future prospect after ad. upper-sec. and high. educ (Expected utility education);"TREE; NEPS (2013); DAB-Panelstudie (2020)";"0";Wave-specific;Base (BQ);CASI/Web/PP;481;195;139;37;"2010201210                    "
